id,name,country_code,country_name,state_province,city,registration_id,registration_type,description,website,email,phone,framework_area,ntee_code,icnpo_code,source,source_id,last_filing_year,annual_revenue,employee_count,lat,lon,model_type,tags,alignment_score,evidence_url,evidence_quote,last_verified_at
911244,Emirates Community Empowerment (ECE),AE,,,Abu Dhabi,,,"The incubating company was established as a socio-economic innovation to support the third sector, especially cooperatives, where the founder sought the need of the third sector in the country for an incubator and professional management that provides innovative digital solutions to incubate and manage the operation of third sector entities, where the founder Mubarak Ali Al-Hilali worked through one of the financial companies to manage a project re-establishing the Armed Forces Cooperative, after which he began the process of participating in providing consultancy in the establishment and management of cooperatives and third sector entities through his expertise and the expertise of the work team in digital transformation, banking, social and technological innovation.",,,,cooperatives,,,ica_directory,45831,,,,,,cooperative,ica_member,10,https://lod.coop/ica/45831,,
911163,Farm Credit Armenia Universal Credit Organization Commercial Cooperative (FCA UCO CC),AM,,,Yerevan,,,"Farm Credit Armenia is a financial co-operative. Its members are rural inhabitants, farmers, private enterprises and others for agricultural production, food processing and other agriculture related activities. They offer agricultural loans, agribusiness loans, SME loans and leasing of agricultural machinery and equipment.In 2010, FCA had 350 individual members. There are 5,313 individual members as at the end of 2015 in the cooperative, 18% of which are youth, and 15% of which are women. FCA has 65 employees as of the end of 2015.",,,,cooperatives,,,ica_directory,3605,,,,,,cooperative,ica_member,10,https://lod.coop/ica/3605,,
911134,Agricultores Federados Argentinos Sociedad Cooperativa Limitada (AFA S.C.L.),AR,,,Rosario,,,"Agricultores Federados Argentinos SCL es la cooperativa agropecuaria de primer grado m&aacute;s grande de Argentina. Asocia a 40.000 peque&ntilde;os y medianos productores agropecuarios y tiene 1.600 empleados. Los principales servicios que brinda a sus asociados son: acopio, acondicionamiento y comercializaci&oacute;n de cereales, oleaginosas y legumbres, provisi&oacute;n de semillas, fitosanitarios, combustibles e insumos, transporte, comercializaci&oacute;n de ganado, seguros, cobertura m&eacute;dica de alta complejidad, y asesoramiento agron&oacute;mico, entre otros.",http://www.afascl.com,,,cooperatives,,,ica_directory,3186,,,,,,cooperative,ica_member,9,https://lod.coop/ica/3186,,
911129,Asociación de Cooperativas Argentinas Cooperativa Limitada (ACA C.L.),AR,,,C.A.B.A.,,,"ACA C.L. is a second tier cooperative with 140 member cooperatives, dedicated to the commercialisation of grains and their derivitaves, both for the local and international market, and to the supply of agriculture inputs. 30,000 individual members",https://www.acacoop.com.ar/,,,cooperatives,,,ica_directory,2891,,,,,,cooperative,ica_member,10,https://lod.coop/ica/2891,,
911096,Banco Credicoop Cooperativo Ltd. (BCCL),AR,,,Buenos Aires,,,"El Banco Credicoop Coop Limitado es un Banco cooperativo propiedad de sus Asociados, gestionado en forma democr&aacute;tica, heredero y continuador de la valiosa labor desplegada desde los inicios del siglo XX por las cajas de cr&eacute;dito cooperativas. El Banco Credicoop Coop. Ltdo. naci&oacute; bajo la orientaci&oacute;n del Instituto Movilizador de Fondos Cooperativos, el que sigue guiando institucionalmente a nuestra Entidad. Nuestra labor primordial es la prestaci&oacute;n de servicios financieros eficientes y de calidad a nuestros Asociados, otorgando particular importancia a la asistencia crediticia a las peque&ntilde;as y medianas empresas, a las cooperativas, a las empresas de econom&iacute;a social y a las personas; localizados tanto en los grandes centros urbanos como en las peque&ntilde;as poblaciones de nuestro pa&iacute;s. Los dep&oacute;sitos captados son revertidos prioritariamente en financiaciones en la misma localidad. Aspiramos a contribuir al progreso econ&oacute;mico nacional y a la construcci&oacute;n de una sociedad solidaria con equidad distributiva para garantizar una vida digna a todos los habitantes de este pa&iacute;s.",http://www.bancocredicoop.coop,,,cooperatives,,,ica_directory,1535,,,,,,cooperative,ica_member,6,https://lod.coop/ica/1535,,
910978,Confederación Cooperativa de la República Argentina Ltda. (COOPERAR),AR,,,Buenos Aires,,,"The Cooperative Confederation of the Republic of Argentina (COOPERAR) is a third grade entity, representative of the social economy, which is involved in the everyday life of over 10 million Argentine people through its 5,000 basic entities throughout Argentina. Founded on December 5th 1962, it represents over 60 entities from different sectors: consumption, education, health, tourism, savings and credit, production and housing, work, electric energy, telecommunication, potable water, gas networks and liquid gas, pharmacology, insurance, media and agriculture. Sectoral integration places it as the indisputable main actor of the national and regional situation, since it represents regional economies producers, organized public services enterprises users, associated consumers, and thousands of people that interact with the Argentine associative enterprises. We cooperative enterprises express the interests of the organized citizenship; we don&rsquo;t pursue the craving for profit; our self-management model prioritize fair price, democracy, equity and social justice, providing efficient and high quality services all around the country. Together with our brother cooperative confederations and mutual societies, and in alliance with the Government through the National Institute of Association and Social Economy (INAES), COOPERAR develops policies inside and outside the sector. It has an agreement with the National Network of Cooperative Parliamentarians and is part of the Federal...",http://www.cooperar.coop,,,cooperatives,,,ica_directory,65,,,,,,cooperative,ica_member,10,https://lod.coop/ica/65,,
911184,Cooperativa de Trabajos Portuarios Limitada de San Martin (Coop Portuaria),AR,,,Portuario,,,"The members of Coop Portuaria are port workers that decided to form the workers co-operative during a strike in the 1960's, with the approval of the government. It is located on the port of the Paran&aacute; River, the largest agro-exporting port in Argentina. The co-operative provides port stowage, cleaning of ships, bagged, loading and unloading of bulk cargo, movements of bulk in horizontal, loading and unloading in underground silos. It provides attention to stranded or damaged vessels. It supports the development of national and multinational companies installing new factories and terminals of boarding with the latest technology to improve the service of foreign trade. It works internally to provide quality services, with high performance and low operating costs, training staff permanently. This co-operative works together with 23 other partner co-operatives throughout the country. They also have an Emergency Centre that provides rescue services in port zones.",http://www.cooportuaria.com,,,cooperatives,,,ica_directory,19482,,,,-32.718546,-60.729761,cooperative,ica_member,10,https://lod.coop/ica/19482,,
910979,Federación Argentina de Cooperativas de Consumo (FACC),AR,,,Bahia Blanca,,,"FACC is the oldest second degree organization for the Argentine urban co-operatives. Founded in 1932 by 26 consumer co-operatives convened by Cooperative El Hogar Obrero, the first Argentine cooperative affiliated to the International Cooperative Alliance. The Federation has a wide range of activities, such as: - agreements with universities to facilitate the study and dissemination of the consumer cooperative education in the country and the world - promotes concrete actions to integrate consumer cooperatives with the workers cooperatives and/or production - provides training to officials and employees of associated cooperatives - carries out an intense activity of defense and interests of the consumer cooperative sector with governments and public bodies.",http://www.faccargentina.coop,,,cooperatives,,,ica_directory,68,,,,,,cooperative,ica_member,10,https://lod.coop/ica/68,,
910980,"Instituto Movilizador De Fondos Cooperativos, Cooperativa Ltda. (IMFC)",AR,,,Ciudad Autónoma de Buenos Aires,,,"El Instituto Movilizador de Fondos Coperativos fue fundado el 23 de noviembre de 1958, en la ciudad de Rosario, provincia de Santa Fe, con cuatro objetivos estrat&eacute;gicos: Difundir los valores y principios de la cooperaci&oacute;n, promover la creaci&oacute;n de cajas de cr&eacute;dito cooperativas, representar a sus entidades asociadas antes los poderes pol&iacute;ticos y movilizar los recursos financieros ociosos de unas regiones a otras, seg&uacute;n las necesidades estacionales de la econom&iacute;a. Entre 1958 y 1966 el IMFC contribuy&oacute; a crear m&aacute;s de 800 cajas de cr&eacute;dito cooperativas. A fines de la d&eacute;cada del 70, el Instituto Movilizador impuls&oacute; la creaci&oacute;n de bancos cooperativos sobre la base de la integraci&oacute;n de un gran n&uacute;mero de cajas de cr&eacute;dito. As&iacute; naci&oacute; el Banco Credicoop, el 19 de marzo de 1979, producto de la fusi&oacute;n de 44 cajas de cr&eacute;dito cooperativas. Actualmente, es el &uacute;nico banco cooperativo de la Rep&uacute;blica Argentina.",http://www.imfc.coop,,,cooperatives,,,ica_directory,70,,,,,,cooperative,ica_member,6,https://lod.coop/ica/70,,
911117,La Segunda Cooperativa Limitada Seguros Generales,AR,,,Rosario,,,"Con el objetivo de proteger el patrimonio de personas y empresas, nos destaca una innovadora actitud en desarrollar coberturas que brinden soluciones a la medida de las cambiantes exigencias del mercado.",http://www.lasegunda.com.ar,,,cooperatives,,,ica_directory,2198,,,,,,cooperative,ica_member,6,https://lod.coop/ica/2198,,
