id,name,country_code,country_name,state_province,city,registration_id,registration_type,description,website,email,phone,framework_area,ntee_code,icnpo_code,source,source_id,last_filing_year,annual_revenue,employee_count,lat,lon,model_type,tags,alignment_score,evidence_url,evidence_quote,last_verified_at
763899,Antigua & Barbuda Public Service Association,AG,Antigua and Barbuda,,,,labor/union_federation,ITUC affiliate. ABPSA. 365 members.,,,,cooperatives,,,ituc_affiliates,wp:Antigua_&_Barbuda_Public_Service_Association,,,,,,labor_union,"labor_union,ituc_affiliate",4,https://en.wikipedia.org/wiki/Antigua_%26_Barbuda_Public_Service_Association,,
763900,Antigua & Barbuda Workers' Union,AG,Antigua and Barbuda,,,,labor/union_federation,"ITUC affiliate. ABWU. 3,000 members.",,,,cooperatives,,,ituc_affiliates,wp:Antigua_&_Barbuda_Workers'_Union,,,,,,labor_union,"labor_union,ituc_affiliate",4,https://en.wikipedia.org/wiki/Antigua_%26_Barbuda_Workers%27_Union,,
763894,Confederation of the Trade Unions of Albania,AL,Albania,,,,labor/union_federation,"ITUC affiliate. KSSH. 105,000 members.",,,,cooperatives,,,ituc_affiliates,wp:Confederation_of_Trade_Unions_(Albania),,,,,,labor_union,"labor_union,ituc_affiliate",4,https://en.wikipedia.org/wiki/Confederation_of_Trade_Unions_%28Albania%29,,
763895,Union of the Independent Trade Unions of Albania,AL,Albania,,,,labor/union_federation,"ITUC affiliate. BSPSH. 84,000 members.",,,,cooperatives,,,ituc_affiliates,wp:United_Independent_Albanian_Trade_Unions,,,,,,labor_union,"labor_union,ituc_affiliate",4,https://en.wikipedia.org/wiki/United_Independent_Albanian_Trade_Unions,,
764162,Confederation of Trade Unions of Armenia,AM,Armenia,,,,labor/union_federation,ITUC affiliate. HAMK.,,,,cooperatives,,,ituc_affiliates,wp:Confederation_of_Trade_Unions_of_Armenia,,,,40.07,45.04,labor_union,"labor_union,ituc_affiliate",4,https://en.wikipedia.org/wiki/Confederation_of_Trade_Unions_of_Armenia,,
763897,Central Geral de Sindicatos Independentes e Livres de Angola,AO,Angola,,,,labor/union_federation,"ITUC affiliate. CGSILA. 93,000 members.",,,,cooperatives,,,ituc_affiliates,wp:General_Centre_of_Independent_and_Free_Unions_of_Angola,,,,,,labor_union,"labor_union,ituc_affiliate",4,https://en.wikipedia.org/wiki/General_Centre_of_Independent_and_Free_Unions_of_Angola,,
763898,União Nacional dos Trabalhadores de Angola,AO,Angola,,,,labor/union_federation,"ITUC affiliate. UNTA-CS. 215,548 members.",,,,cooperatives,,,ituc_affiliates,wp:National_Union_of_Angolan_Workers,,,,,,labor_union,"labor_union,ituc_affiliate",4,https://en.wikipedia.org/wiki/National_Union_of_Angolan_Workers,,
763901,Central de los Trabajadores Argentinos,AR,Argentina,,,,labor/union_federation,"ITUC affiliate. CTA. 600,000 members.",,,,cooperatives,,,ituc_affiliates,wp:Central_de_los_Trabajadores_Argentinos,,,,-38.42,-63.62,labor_union,"labor_union,ituc_affiliate",4,https://en.wikipedia.org/wiki/Central_de_los_Trabajadores_Argentinos,,
764161,Central de los Trabajadores Argentinos – Autónoma,AR,Argentina,,,,labor/union_federation,ITUC affiliate. CTA-A.,,,,cooperatives,,,ituc_affiliates,wp:Central_de_los_Trabajadores_Argentinos_–_Autónoma,,,,-38.42,-63.62,labor_union,"labor_union,ituc_affiliate",4,https://en.wikipedia.org/wiki/Central_de_los_Trabajadores_Argentinos_%E2%80%93_Aut%C3%B3noma,,
763902,Confederación General del Trabajo de la República Argentina,AR,Argentina,,,,labor/union_federation,"ITUC affiliate. CGT. 4,401,023 members.",,,,cooperatives,,,ituc_affiliates,wp:Confederación_General_del_Trabajo_de_la_República_Argentina,,,,-38.42,-63.62,labor_union,"labor_union,ituc_affiliate",4,https://en.wikipedia.org/wiki/Confederaci%C3%B3n_General_del_Trabajo_de_la_Rep%C3%BAblica_Argentina,,
763905,Österreichischer Gewerkschaftsbund,AT,Austria,,,,labor/union_federation,"ITUC affiliate. ÖGB. 1,222,190 members.",,,,cooperatives,,,ituc_affiliates,wp:Österreichischer_Gewerkschaftsbund,,,,47.52,14.55,labor_union,"labor_union,ituc_affiliate",4,https://en.wikipedia.org/wiki/%C3%96sterreichischer_Gewerkschaftsbund,,
763904,Australian Council of Trade Unions,AU,Australia,,,,labor/union_federation,"ITUC affiliate. ACTU. 1,761,400 members.",,,,cooperatives,,,ituc_affiliates,wp:Australian_Council_of_Trade_Unions,,,,-25.27,133.78,labor_union,"labor_union,ituc_affiliate",4,https://en.wikipedia.org/wiki/Australian_Council_of_Trade_Unions,,
763903,Federacion di trahadornan di Aruba,AW,Aruba,,,,labor/union_federation,"ITUC affiliate. FTA. 2,507 members.",,,,cooperatives,,,ituc_affiliates,wp:Federacion_di_trahadornan_di_Aruba,,,,,,labor_union,"labor_union,ituc_affiliate",4,https://en.wikipedia.org/wiki/Federacion_di_trahadornan_di_Aruba,,
763906,Azerbaycan Hemkarlar Ittifaqlari Konfederasiyasi,AZ,Azerbaijan,,,,labor/union_federation,"ITUC affiliate. AHIK. 735,000 members.",,,,cooperatives,,,ituc_affiliates,wp:Azerbaycan_Hemkarlar_Ittifaqlari_Konfederasiyasi,,,,,,labor_union,"labor_union,ituc_affiliate",4,https://en.wikipedia.org/wiki/Azerbaycan_Hemkarlar_Ittifaqlari_Konfederasiyasi,,
763927,Konfederacija Sindikata Bosne I Hercegovine,BA,Bosnia-Herzegovina,,,,labor/union_federation,"ITUC affiliate. KSBiH. 223,000 members.",,,,cooperatives,,,ituc_affiliates,wp:Konfederacija_Sindikata_Bosne_I_Hercegovine,,,,,,labor_union,"labor_union,ituc_affiliate",4,https://en.wikipedia.org/wiki/Konfederacija_Sindikata_Bosne_I_Hercegovine,,
763914,Barbados Workers' Union,BB,Barbados,,,,labor/union_federation,"ITUC affiliate. BWU. 15,000 members.",,,,cooperatives,,,ituc_affiliates,wp:Barbados_Workers'_Union,,,,,,labor_union,"labor_union,ituc_affiliate",4,https://en.wikipedia.org/wiki/Barbados_Workers%27_Union,,
763908,Bangladesh Free Trade Union Congress,BD,Bangladesh,,,,labor/union_federation,"ITUC affiliate. BFTUC. 85,000 members.",,,,cooperatives,,,ituc_affiliates,wp:Bangladesh_Free_Trade_Union_Congress,,,,23.68,90.35,labor_union,"labor_union,ituc_affiliate",4,https://en.wikipedia.org/wiki/Bangladesh_Free_Trade_Union_Congress,,
763909,Bangladesh Jatyatabadi Sramik Dal,BD,Bangladesh,,,,labor/union_federation,"ITUC affiliate. BJSD. 180,000 members.",,,,cooperatives,,,ituc_affiliates,wp:Bangladesh_Jatyatabadi_Sramik_Dal,,,,23.68,90.35,labor_union,"labor_union,ituc_affiliate",4,https://en.wikipedia.org/wiki/Bangladesh_Jatyatabadi_Sramik_Dal,,
763910,Bangladesh Labour Federation,BD,Bangladesh,,,,labor/union_federation,"ITUC affiliate. BLF. 102,000 members.",,,,cooperatives,,,ituc_affiliates,wp:Bangladesh_Labour_Federation,,,,23.68,90.35,labor_union,"labor_union,ituc_affiliate",4,https://en.wikipedia.org/wiki/Bangladesh_Labour_Federation,,
763911,Bangladesh Mukto Sramik Federation,BD,Bangladesh,,,,labor/union_federation,"ITUC affiliate. BMSF. 204,000 members.",,,,cooperatives,,,ituc_affiliates,wp:Bangladesh_Mukto_Sramik_Federation,,,,23.68,90.35,labor_union,"labor_union,ituc_affiliate",4,https://en.wikipedia.org/wiki/Bangladesh_Mukto_Sramik_Federation,,
763912,Bangladesh Sanjukta Sramik Federation,BD,Bangladesh,,,,labor/union_federation,"ITUC affiliate. BSSF. 155,000 members.",,,,cooperatives,,,ituc_affiliates,wp:Bangladesh_Sanjukta_Sramik_Federation,,,,23.68,90.35,labor_union,"labor_union,ituc_affiliate",4,https://en.wikipedia.org/wiki/Bangladesh_Sanjukta_Sramik_Federation,,
763913,Jatio Sramik League,BD,Bangladesh,,,,labor/union_federation,"ITUC affiliate. JSL. 150,000 members.",,,,cooperatives,,,ituc_affiliates,wp:Jatio_Sramik_League,,,,23.68,90.35,labor_union,"labor_union,ituc_affiliate",4,https://en.wikipedia.org/wiki/Jatio_Sramik_League,,
763916,Centrale générale des syndicats libéraux de Belgique,BE,Belgium,,,,labor/union_federation,"ITUC affiliate. CGSLB. 274,308 members.",,,,cooperatives,,,ituc_affiliates,wp:General_Confederation_of_Liberal_Trade_Unions_of_Belgium,,,,50.5,4.47,labor_union,"labor_union,ituc_affiliate",4,https://en.wikipedia.org/wiki/General_Confederation_of_Liberal_Trade_Unions_of_Belgium,,
763917,Confédération des Syndicats Chrétiens,BE,Belgium,,,,labor/union_federation,"ITUC affiliate. CSC-ACV. 1,603,075 members.",,,,cooperatives,,,ituc_affiliates,wp:Confédération_des_Syndicats_Chrétiens,,,,50.5,4.47,labor_union,"labor_union,ituc_affiliate",4,https://en.wikipedia.org/wiki/Conf%C3%A9d%C3%A9ration_des_Syndicats_Chr%C3%A9tiens,,
763918,Fédération Générale du Travail de Belgique,BE,Belgium,,,,labor/union_federation,"ITUC affiliate. FGTB. 1,517,538 members.",,,,cooperatives,,,ituc_affiliates,wp:Fédération_Générale_du_Travail_de_Belgique,,,,50.5,4.47,labor_union,"labor_union,ituc_affiliate",4,https://en.wikipedia.org/wiki/F%C3%A9d%C3%A9ration_G%C3%A9n%C3%A9rale_du_Travail_de_Belgique,,
763935,Confédération Nationale des Travailleurs Burkinabé,BF,Burkina Faso,,,,labor/union_federation,"ITUC affiliate. CNTB. 10,500 members.",,,,cooperatives,,,ituc_affiliates,wp:Confédération_Nationale_des_Travailleurs_Burkinabé,,,,,,labor_union,"labor_union,ituc_affiliate",4,https://en.wikipedia.org/wiki/Conf%C3%A9d%C3%A9ration_Nationale_des_Travailleurs_Burkinab%C3%A9,,
763936,Confédération Syndicale Burkinabé,BF,Burkina Faso,,,,labor/union_federation,"ITUC affiliate. CSB. 19,386 members.",,,,cooperatives,,,ituc_affiliates,wp:Confédération_Syndicale_Burkinabé,,,,,,labor_union,"labor_union,ituc_affiliate",4,https://en.wikipedia.org/wiki/Conf%C3%A9d%C3%A9ration_Syndicale_Burkinab%C3%A9,,
763937,Organisation Nationale des Syndicats Libres,BF,Burkina Faso,,,,labor/union_federation,"ITUC affiliate. ONSL. 42,500 members.",,,,cooperatives,,,ituc_affiliates,wp:Organisation_Nationale_des_Syndicats_Libres,,,,,,labor_union,"labor_union,ituc_affiliate",4,https://en.wikipedia.org/wiki/Organisation_Nationale_des_Syndicats_Libres,,
763938,Union Syndicale des Travailleurs du Burkina,BF,Burkina Faso,,,,labor/union_federation,"ITUC affiliate. USTB. 8,700 members.",,,,cooperatives,,,ituc_affiliates,wp:Union_Syndicale_des_Travailleurs_du_Burkina,,,,,,labor_union,"labor_union,ituc_affiliate",4,https://en.wikipedia.org/wiki/Union_Syndicale_des_Travailleurs_du_Burkina,,
763933,Confederation of Independent Trade Unions of Bulgaria,BG,Bulgaria,,,,labor/union_federation,"ITUC affiliate. KNSB / CITUB. 220,000 members.",,,,cooperatives,,,ituc_affiliates,wp:Confederation_of_Independent_Trade_Unions_of_Bulgaria,,,,42.73,25.49,labor_union,"labor_union,ituc_affiliate",4,https://en.wikipedia.org/wiki/Confederation_of_Independent_Trade_Unions_of_Bulgaria,,
763934,Confederation of Labour Podkrepa,BG,Bulgaria,,,,labor/union_federation,"ITUC affiliate. 150,730 members.",,,,cooperatives,,,ituc_affiliates,wp:Confederation_of_Labour_Podkrepa,,,,42.73,25.49,labor_union,"labor_union,ituc_affiliate",4,https://en.wikipedia.org/wiki/Confederation_of_Labour_Podkrepa,,
763907,General Federation of Bahrain Trade Unions,BH,Bahrain,,,,labor/union_federation,"ITUC affiliate. GFBTU. 10,000 members.",,,,cooperatives,,,ituc_affiliates,wp:General_Federation_of_Bahrain_Trade_Unions,,,,,,labor_union,"labor_union,ituc_affiliate",4,https://en.wikipedia.org/wiki/General_Federation_of_Bahrain_Trade_Unions,,
763941,Confédération Syndicale du Burundi,BI,Burundi,,,,labor/union_federation,"ITUC affiliate. CSB. 5,500 members.",,,,cooperatives,,,ituc_affiliates,wp:Confédération_Syndicale_du_Burundi,,,,,,labor_union,"labor_union,ituc_affiliate",4,https://en.wikipedia.org/wiki/Conf%C3%A9d%C3%A9ration_Syndicale_du_Burundi,,
763940,Confédération des Syndicats du Burundi,BI,Burundi,,,,labor/union_federation,"ITUC affiliate. COSYBU. 12,000 members.",,,,cooperatives,,,ituc_affiliates,wp:Confédération_des_Syndicats_du_Burundi,,,,,,labor_union,"labor_union,ituc_affiliate",4,https://en.wikipedia.org/wiki/Conf%C3%A9d%C3%A9ration_des_Syndicats_du_Burundi,,
764165,Centrale Syndicale du Secteur Public,BJ,Benin,,,,labor/union_federation,ITUC affiliate. CSP.,,,,cooperatives,,,ituc_affiliates,wp:Centrale_Syndicale_du_Secteur_Public,,,,,,labor_union,"labor_union,ituc_affiliate",4,https://en.wikipedia.org/wiki/Centrale_Syndicale_du_Secteur_Public,,
764164,"Centrale des Syndicats de Secteurs Privé, Parapublic et Informel du Bénin",BJ,Benin,,,,labor/union_federation,ITUC affiliate. CSPIB.,,,,cooperatives,,,ituc_affiliates,"wp:Centrale_des_Syndicats_de_Secteurs_Privé,_Parapublic_et_Informel_du_Bénin",,,,,,labor_union,"labor_union,ituc_affiliate",4,https://en.wikipedia.org/wiki/Centrale_des_Syndicats_de_Secteurs_Priv%C3%A9%2C_Parapublic_et_Informel_du_B%C3%A9nin,,
763922,Confédération Générale des Travailleurs du Bénin,BJ,Benin,,,,labor/union_federation,"ITUC affiliate. CGTB. 90,751 members.",,,,cooperatives,,,ituc_affiliates,wp:Confédération_Générale_des_Travailleurs_du_Bénin,,,,,,labor_union,"labor_union,ituc_affiliate",4,https://en.wikipedia.org/wiki/Conf%C3%A9d%C3%A9ration_G%C3%A9n%C3%A9rale_des_Travailleurs_du_B%C3%A9nin,,
763920,Confédération des Organisations Syndicales Indépendantes du Bénin,BJ,Benin,,,,labor/union_federation,"ITUC affiliate. COSI. 53,470 members.",,,,cooperatives,,,ituc_affiliates,wp:Confédération_des_Organisations_Syndicales_Indépendantes_du_Bénin,,,,,,labor_union,"labor_union,ituc_affiliate",4,https://en.wikipedia.org/wiki/Conf%C3%A9d%C3%A9ration_des_Organisations_Syndicales_Ind%C3%A9pendantes_du_B%C3%A9nin,,
763921,Confédération des Syndicats Autonomes du Bénin,BJ,Benin,,,,labor/union_federation,"ITUC affiliate. CSA. 60,000 members.",,,,cooperatives,,,ituc_affiliates,wp:Confédération_des_Syndicats_Autonomes_du_Bénin,,,,,,labor_union,"labor_union,ituc_affiliate",4,https://en.wikipedia.org/wiki/Conf%C3%A9d%C3%A9ration_des_Syndicats_Autonomes_du_B%C3%A9nin,,
