id,name,country_code,country_name,state_province,city,registration_id,registration_type,description,website,email,phone,framework_area,ntee_code,icnpo_code,source,source_id,last_filing_year,annual_revenue,employee_count,lat,lon,model_type,tags,alignment_score,evidence_url,evidence_quote,last_verified_at
689396,Open Food Network Belgium,BE,Belgium,,Brussels,,,"Deployed November 2018; community managed by Oxfam-Magasins du monde, supporting local food access in Belgium.",,,,food,,,manual_curation,OFN_BE,2018,,,50.5,4.47,cooperative,tier_b,5,,,
689398,Open Food Network Brazil,BR,Brazil,,,,,"Launched 2019; brings open-source food sovereignty infrastructure to Brazilian food hubs, farmers, and cooperatives.",https://openfoodbrasil.com.br/,,,food,,,manual_curation,OFN_BR,2019,,,-14.24,-51.93,cooperative,tier_a,7,,,
689394,Open Food Network Canada,CA,Canada,,Ontario,,,"Launched 2017; most active in Ontario, building capacity to deploy food sovereignty infrastructure broadly across Canada.",https://openfoodnetwork.ca/,,,food,,,manual_curation,OFN_CA,2017,,,56.13,-106.35,cooperative,tier_a,5,,,
689397,Open Food Network Germany,DE,Germany,,,,,"Launched 2019; supports food access throughout village centres across Germany, developing new cooperative governance structures.",,,,food,,,manual_curation,OFN_DE,2019,,,51.17,10.45,cooperative,tier_b,5,,,
689393,Katuma (Open Food Network Spain),ES,Spain,,Barcelona,,,"Born 2012 in Barcelona, joined OFN in 2017. Catalan cooperative with presence across the Iberian Peninsula supporting local food networks.",https://app.katuma.org/,,,food,,,manual_curation,OFN_ES,2012,,,40.46,-3.75,cooperative,tier_a,5,,,
689392,Open Food France,FR,France,,Paris,,,"Deployed 2015; becoming a cooperative to run the platform, provide trainings and consulting, and support local food enterprises in France.",https://www.openfoodfrance.org/,,,food,,,manual_curation,OFN_FR,2015,,,46.23,2.21,cooperative,tier_a,5,,,
689402,Open Food Network Greece,GR,Greece,,Athens,,,Launched 2021; supports local food producers and cooperative food distribution across Greece.,https://www.openfoodnetwork.gr/,,,food,,,manual_curation,OFN_GR,2021,,,39.07,21.82,cooperative,tier_a,5,,,
689405,Open Food Network Hungary,HU,Hungary,,Budapest,,,Emerging instance applying the Open Food Network model to support local food sovereignty and producer-consumer connections in Hungary.,https://openfood.hu/,,,food,,,manual_curation,OFN_HU,,,,47.16,19.5,cooperative,tier_a,5,,,
689404,Open Food Network India,IN,India,,,,,Emerging instance connecting Indian food producers and cooperatives through open food distribution infrastructure.,https://openfoodnetwork.in/,,,food,,,manual_curation,OFN_IN,,,,20.59,78.96,cooperative,tier_a,5,,,
689406,Open Food Network Norway,NO,Norway,,,,,In development; bringing open food network infrastructure to Norwegian food producers and cooperatives.,https://www.openfoodnetwork.no/,,,food,,,manual_curation,OFN_NO,,,,60.47,8.47,cooperative,tier_a,5,,,
689401,Open Food Network Russia,RU,Russia,,,,,Launched 2020; applies open food network model to support local food sovereignty and producer-consumer connections in Russia.,https://openfoodnetwork.ru/,,,food,,,manual_curation,OFN_RU,2020,,,61.52,105.32,cooperative,tier_a,5,,,
689407,Acik Gida (Open Food Network Turkey),TR,Turkey,,,,,In development; open food network instance for Turkey supporting local food sovereignty and producer-consumer connections.,https://www.acikgida.com/,,,food,,,manual_curation,OFN_TR,,,,38.96,35.24,cooperative,tier_a,5,,,
689395,Open Food Network USA,US,United States,,,,,Launched 2018 as a cooperative; growing network of member producers and food hubs stretching coast to coast.,https://openfoodnetwork.net/,,,food,,,manual_curation,OFN_US,2018,,,37.09,-95.71,cooperative,tier_a,5,,,
