id,name,country_code,country_name,state_province,city,registration_id,registration_type,description,website,email,phone,framework_area,ntee_code,icnpo_code,source,source_id,last_filing_year,annual_revenue,employee_count,lat,lon,model_type,tags,alignment_score,evidence_url,evidence_quote,last_verified_at
908607,Bonjour Parc-Ex,CA,Canada,QB,Montreal,,,category: Network,https://www.facebook.com/groups/215992479479864/,,,democracy,,,mutual_aid_hub,GPyXl8nSPZb9jfDInOVz,,,,45.5016889,-73.567256,mutual_aid,,3,https://www.mutualaidhub.org/,,
908547,Calgary Community Fridge,CA,Canada,Alberta,Calgary,,,category: Network. tags: Community fridge/pantry - 902 Centre Street North,,,,democracy,,,mutual_aid_hub,CX0aKR2RvsHF25n9EVRG,,,,51.10796029999999,-114.0612726,mutual_aid,Community fridge/pantry - 902 Centre Street North,4,https://www.mutualaidhub.org/,,
908433,Canada / Montreal: Montreal COVID-19: Mutual Aid Mobilisation d’entraide,CA,Canada,QB,Montreal,,,category: Network,https://www.facebook.com/groups/1005041203222884/?ref=share,,,democracy,,,mutual_aid_hub,45fFjc0wFeSrCa7uZWFV,,,,45.5088,-73.554,mutual_aid,,9,https://www.mutualaidhub.org/,,
908944,Canada / Vancouver: Mutual Aid for Metro Vancouver — COVID-19 — Social Distancing Solidarity (Coast Salish Land),CA,Canada,BC,Vancouver,,,category: Network,,,,democracy,,,mutual_aid_hub,dq3pKeNRcoIeFUuHAobI,,,,49.2609,-123.1139,mutual_aid,,6,https://www.mutualaidhub.org/,,
909226,Hamilton Community Response,CA,Canada,ON,Hamilton,,,category: Network,https://www.facebook.com/groups/Hamont.Response.COVID19/,,,democracy,,,mutual_aid_hub,xREdSH8BARpaVXLhAhCr,,,,43.2547,-79.8678,mutual_aid,,4,https://www.mutualaidhub.org/,,
908929,Lennoxville Empowerment: Mutual Organizational Network,CA,Canada,QB,Sherbrooke,,,category: Network,https://www.facebook.com/groups/618099699116053,,,democracy,,,mutual_aid_hub,cwHGvf7gl90WhcyGuZNQ,,,,45.3667531,-71.82717389999999,mutual_aid,,3,https://www.mutualaidhub.org/,,
908709,Mount Pleasant Mutual Aid,CA,Canada,BC,Vancouver,,,category: Network,,,,democracy,,,mutual_aid_hub,NrR3pwnWlIFacnLKpik2,,,,49.2827291,-123.1207375,mutual_aid,,6,https://www.mutualaidhub.org/,,
909123,Mutual Aid Society Winnipeg,CA,Canada,MB,Winnipeg,,,category: Network,https://www.facebook.com/groups/220944599058149/?ref=share,,,democracy,,,mutual_aid_hub,r1IdfTK011F5uWkOAsO6,,,,49.8833,-97.1667,mutual_aid,,6,https://www.mutualaidhub.org/,,
908941,Mutual aid society halifax,CA,Canada,NS,Halifax,,,category: Network,,,,democracy,,,mutual_aid_hub,degh9LZOtsUFM0fynMlK,,,,44.6484,-63.575,mutual_aid,,6,https://www.mutualaidhub.org/,,
908737,Parkdale Mutual Aid Network,CA,Canada,ON,Toronto,,,category: Network,https://www.facebook.com/ParkdalePPE/,,,democracy,,,mutual_aid_hub,PsQN4ypNQykUHfoCVBkd,,,,43.6529,-79.3849,mutual_aid,,6,https://www.mutualaidhub.org/,,
908603,Toronto Community Response,CA,Canada,ON,Toronto,,,category: Network,https://www.facebook.com/groups/TO.Community.Response.COVID19/,,,democracy,,,mutual_aid_hub,GMtTHxkA4N0LnAYajIQt,,,,43.6529,-79.3849,mutual_aid,,4,https://www.mutualaidhub.org/,,
908926,#BrooklynShowsLove Mutual Aid Project,US,USA,NY,New York City,,,category: Network,,,,democracy,,,mutual_aid_hub,cntBw2UlPIWwXMVU7dZS,,,,40.7648,-73.9808,mutual_aid,,6,https://www.mutualaidhub.org/,,
908588,#LoveYourNeighbor514,US,USA,VA,Norfolk,,,category: Network,https://www.facebook.com/groups/1289789657885457/,,,democracy,,,mutual_aid_hub,FAVcelUEnT4nTetcRJjH,,,,36.9138353,-76.2826675,mutual_aid,,3,https://www.mutualaidhub.org/,,
908660,#WeAreLowellJayWestfieldTroyAreaStrong,US,USA,VT,Lowell,,,category: Network,https://www.facebook.com/groups/WeAreLowellJayWestfieldTroyAreaStrong/,,,democracy,,,mutual_aid_hub,JWSbyIAo7PhHdG33VfwM,,,,44.7992,-72.4482,mutual_aid,,3,https://www.mutualaidhub.org/,,
909078,19th Ward Mutual Aid,US,USA,IL,Chicago,,,category: Network,https://www.facebook.com/19Aid,,,democracy,,,mutual_aid_hub,nuo9TAVgX1GwdeQNGM39,,,,41.6773775,-87.6538017,mutual_aid,,6,https://www.mutualaidhub.org/,,
908441,25 Lefferts Ave. Mutual Aid Network,US,USA,NY,New York City,,,category: Network,,,,democracy,,,mutual_aid_hub,4jyS1Ynix6rjNtuxzQqz,,,,40.7648,-73.9808,mutual_aid,,6,https://www.mutualaidhub.org/,,
908987,350 MA & Friends COVID-19 Mutual Aid Needs/Offerings Form,US,USA,MA,Boston,,,category: Network,,,,democracy,,,mutual_aid_hub,gpyVfEvsuwIgmDppOcYO,,,,42.3605,-71.0596,mutual_aid,,6,https://www.mutualaidhub.org/,,
