id,name,country_code,country_name,state_province,city,registration_id,registration_type,description,website,email,phone,framework_area,ntee_code,icnpo_code,source,source_id,last_filing_year,annual_revenue,employee_count,lat,lon,model_type,tags,alignment_score,evidence_url,evidence_quote,last_verified_at
909295,Canadian Community Economic Development Network,CA,Canada,,,,,CCED-NET is a member-led organization committed to strengthening communities by creating economic opportunities that improve environmental and social conditions.  We bring people and organizations together to share knowledge and build a collective voice for Community Economic Development action.,https://neweconomy.net/organization/canadian-community-economic-development-network/,,,ecology,,,nec_members,canadian-community-economic-development-network,,,,,,federation,,5,https://neweconomy.net/organization/canadian-community-economic-development-network/,,
909296,Canadian Worker Co-op Federation,CA,Canada,,,,,"CWCF is a national, bilingual grassroots membership organization of and for worker co-operatives and organizations that support the growth and development of worker co-operatives.",https://neweconomy.net/organization/canadian-worker-co-op-federation/,,,cooperatives,,,nec_members,canadian-worker-co-op-federation,,,,,,cooperative,,9,https://neweconomy.net/organization/canadian-worker-co-op-federation/,,
909273,A Bookkeeping Cooperative,US,United States,,,,,"ABC is a worker-owned union cooperative dedicated to building solidarity economies. We develop the skills, systems, and confidence of people and projects working towards a just world beyond capitalism through bookkeeping, consulting, and financial education.",https://neweconomy.net/organization/a-bookkeeping-cooperative/,,,cooperatives,,,nec_members,a-bookkeeping-cooperative,,,,,,cooperative,,10,https://neweconomy.net/organization/a-bookkeeping-cooperative/,,
909279,ARC Southeast,US,United States,,,,,"We provide funding and logistical support to ensure Southerners receive safe and compassionate reproductive care including abortion services. Through mutual aid, popular education, and storytelling, we build power in communities of color to abolish stigma and restore dignity and justice.",https://neweconomy.net/organization/arc-southeast/,,,education,,,nec_members,arc-southeast,,,,,,nonprofit,,5,https://neweconomy.net/organization/arc-southeast/,,
909274,Agrarian Trust,US,United States,,,,,Agrarian Trust’s mission is to support land access for the next generation of farmers.,https://neweconomy.net/organization/agrarian-trust/,,,food,,,nec_members,agrarian-trust,,,,,,foundation,,2,https://neweconomy.net/organization/agrarian-trust/,,
909275,Alaska Just Transition Collective,US,United States,,,,,"The Alaska Just Transition Collective strives to not only create a “new” path forward but also to remember a knowledge system that has lived in harmony with these lands for thousands of years. For us, a Just Transition means uplifting Indigenous place-based knowledge systems and ways of life while we shape regenerative economies, steward lands and waters, and build more just and equitable communities for all.",https://neweconomy.net/organization/alaska-just-transition-collective/,,,cooperatives,,,nec_members,alaska-just-transition-collective,,,,,,nonprofit,,6,https://neweconomy.net/organization/alaska-just-transition-collective/,,
909276,Alliance for Boys and Men of Color,US,United States,,,,,The Alliance for Boys and Men of Color is a national network of hundreds of community and advocacy organizations who come together to advance race and gender justice by transforming policies that are failing boys and men of color and their families and building communities full of opportunity.,https://neweconomy.net/organization/alliance-for-boys-and-men-of-color/,,,democracy,,,nec_members,alliance-for-boys-and-men-of-color,,,,,,federation,,2,https://neweconomy.net/organization/alliance-for-boys-and-men-of-color/,,
909278,Amplify Atlanta,US,United States,,,,,"Our mission is to activate a strong organizer community in Metro-Atlanta and empower activists and organizers across the city to better facilitate movements by providing resources, training, tools, and collective power.",https://neweconomy.net/organization/amplify-atlanta/,,,education,,,nec_members,amplify-atlanta,,,,,,nonprofit,,4,https://neweconomy.net/organization/amplify-atlanta/,,
909280,Art.Coop,US,United States,,,,,We organize for and with cultural workers. Art.coop moves material and cultural resources. Art.coop builds a base of artists. Art.coop challenges extractive practices and supports collective solutions.,https://neweconomy.net/organization/art-coop/,,,cooperatives,,,nec_members,art-coop,,,,,,cooperative,,9,https://neweconomy.net/organization/art-coop/,,
909281,Asheville-Buncombe Community Land Trust,US,United States,,,,,"Our mission is to establish permanently affordable residential, commercial, and community spaces that empower Black, Indigenous, People of Color, and low- to moderate-income residents to build social, economic, and cultural capital.",https://neweconomy.net/organization/asheville-buncombe-community-land-trust/,,,housing_land,,,nec_members,asheville-buncombe-community-land-trust,,,,,,foundation,,9,https://neweconomy.net/organization/asheville-buncombe-community-land-trust/,,
909282,Austin Cooperative Business Association (ACBA),US,United States,,,,,The Austin Cooperative Business Association (ACBA) works to build and expand the cooperative economy in central Texas.,https://neweconomy.net/organization/austin-cooperative-business-association-acba/,,,cooperatives,,,nec_members,austin-cooperative-business-association-acba,,,,,,cooperative,,6,https://neweconomy.net/organization/austin-cooperative-business-association-acba/,,
