id,name,country_code,country_name,state_province,city,registration_id,registration_type,description,website,email,phone,framework_area,ntee_code,icnpo_code,source,source_id,last_filing_year,annual_revenue,employee_count,lat,lon,model_type,tags,alignment_score,evidence_url,evidence_quote,last_verified_at
721078,Sectors - Commonwealth of Nations,FJ,Fiji,,,,,"Fiji has a vibrant civil society mainly made up of ethnic and human rights groups, women's affairs groups, and environmental non-governmental organisations (NGOs). Many of the international NGOs, whic",,,,ecology,,,web_research,,,,,-17.71,178.07,nonprofit,tier_b,4,,,
761710,Indian Ngos List Directory | Non-governmental organization - Non-profit ,IN,India,,,,,"India Ngos list Ngo's directory with all types Ngos, Societies, Trust, Co-operative society, Section 25 company That are with 80g Tax certificate and FRCA certificate in India.",,,,cooperatives,,,web_research,,,,,20.59,78.96,nonprofit,tier_b,3,,,
761712,Top 10 NGOs in India | Best & Trusted Non-Profit Organizations,IN,India,,,,,"Explore the top 10 NGOs in India including PARD INDIA, Akshaya Patra Foundation, and CRY. These trusted non-profit organizations are driving change in education, healthcare, child rights, and rural de",,,,healthcare,,,web_research,,,,,20.59,78.96,nonprofit,tier_b,3,,,
689246,Amnesty Kenya,KE,Kenya,,,,,"- **** campaigns against abuses as part of Amnesty International's global network, mobilizing members to pressure governments.[1] - **Kenya Human Rights Commission (KHRC)** promotes human rights and d",,,,democracy,,,web_research,,,,,-1.29,36.82,nonprofit,tier_b,2,,,
689257,Amref Health Africa,KE,Kenya,,,,,"- ****: Delivers healthcare services across 36 African countries, including Kenya, with a focus on eye treatment, community health, and partnerships to combat child abuse through parenting classes and",,,,healthcare,,,web_research,,,,,-1.29,36.82,nonprofit,tier_b,5,,,
689256,Asante Africa Foundation,KE,Kenya,,,,,"- ****: Empowers rural youth through education in 300+ schools via programs on livelihoods, accelerated learning, financial literacy, leadership, and job readiness; collaborates with local governments",,,,education,,,web_research,,,,,-1.29,36.82,foundation,tier_b,3,,,
689239,Blue Earth Organization,KE,Kenya,,,,,"- **** (Mombasa): Leads mangrove restoration (e.g., 30,000+ planted), climate advocacy, and youth networking for conservation.[2] - **CANCO**: Focuses on environmental advocacy, biodiversity protectio",,,,ecology,,,web_research,,,,,-1.29,36.82,nonprofit,tier_b,5,,,
689251,EACHRights (East African Centre for Human Rights),KE,Kenya,,,,,"- **** targets economic, social, and cultural rights in areas like education, health, and environmental justice, using research and litigation for vulnerable groups.[8]",,,,healthcare,,,web_research,,,,,-1.29,36.82,research,tier_b,9,,,
689237,Environment Institute of Kenya (EIK),KE,Kenya,,,,,"- ****: Advances environmental professionalism through education, advocacy, policy training, biodiversity conservation, and climate change workshops.[6] - **KENVO (Kenya Forest Communities Network)**:",,,,ecology,,,web_research,,,,,-1.29,36.82,research,tier_b,5,,,
689250,Human Rights Agenda (HURIA),KE,Kenya,,,,,"- **** advances rights by building capacities of state and non-state actors for equal enjoyment of freedoms.[2] - **EACHRights (East African Centre for Human Rights)** targets economic, social, and cu",,,,democracy,,,web_research,,,,,-1.29,36.82,nonprofit,tier_b,2,,,
689252,International Commission of Jurists-Kenya,KE,Kenya,,,,,"Additional groups from records include  (ICJ-Kenya) for advocacy and publications, International Federation of Women Lawyers-Kenya (FIDA-K), and Cemiride for minority/indigenous rights.[4][5][7] Wikip",,,,democracy,,,web_research,,,,,-1.29,36.82,government,tier_b,5,,,
689247,Kenya Human Rights Commission (KHRC),KE,Kenya,,,,,"- **** promotes human rights and democratic values through strategies like monitoring, support for communities, and recent critiques of police actions.[2][4][10] - **Kenya National Commission on Human",,,,democracy,,,web_research,,,,,-1.29,36.82,government,tier_b,2,,,
689248,Kenya National Commission on Human Rights (KNCHR),KE,Kenya,,,,,"- **** acts as a government watchdog, investigating violations (e.g., police shootings and teargassing), and addressing issues like elections and forced evictions.[6][9] - **National Coalition of Huma",,,,democracy,,,web_research,,,,,-1.29,36.82,government,tier_b,2,,,
689236,Kenya Organization for Environmental Education (KOEE),KE,Kenya,,,,,"- ****: Promotes sustainability education, training, and capacity building as part of the Foundation for Environmental Education International; inspired by UN Agenda 21.[3] - **Environment Institute o",,,,education,,,web_research,,,,,-1.29,36.82,nonprofit,tier_b,2,,,
689245,"Key human rights organizations in Kenya include Amnesty Kenya, Kenya Human Rights Commission (KHRC), Kenya National Commission on Human Rights (KNCHR), National Coalition of Human Rights Defenders â€“ Kenya, Human Rights Agenda (HURIA), and others like EACHRights and Cemiride",KE,Kenya,,,,,**.**[1][2][3][4][6][8][10],,,,democracy,,,web_research,,,,,-1.29,36.82,federation,tier_b,2,,,
689223,NGO Portal listings,KE,Kenya,,,,,"- ****: Searchable directory with details on location, focus areas (e.g., human rights, poverty alleviation, health), and social impact scores. Examples include Centre for Women in Enterprise Developm",,,,healthcare,,,web_research,,,,,-1.29,36.82,nonprofit,tier_b,4,,,
689222,NGOs Coordination Board compliant list (PDF),KE,Kenya,,,,,"- ****: Comprehensive alphabetical roster of registered and compliant NGOs.[2] - **NGO Portal listings**: Searchable directory with details on location, focus areas (e.g., human rights, poverty allevi",,,,democracy,,,web_research,,,,,-1.29,36.82,nonprofit,tier_b,2,,,
689249,National Coalition of Human Rights Defenders â€“ Kenya,KE,Kenya,,,,,"- **** supports defenders, based in Nairobi with contact details: Focus Homes Limited, 2nd Floor Unit 10 Kiambere Road Upperhill; http://www.hrdcoalition.org; info@hrdcoalition.org; +254 721 632 390.[",,,,democracy,,,web_research,,,,,-1.29,36.82,federation,tier_b,2,,,
689254,Raising Futures Kenya,KE,Kenya,,,,,"- ****: Provides vocational training, business skills, meals, menstrual hygiene products, and mental health counseling to ~900 youth annually, serving 2,500 students over 21 years to break poverty cyc",,,,healthcare,,,web_research,,,,,-1.29,36.82,nonprofit,tier_b,3,,,
689255,Team Kenya,KE,Kenya,,,,,"- ****: Works with communities around primary schools to promote girls' education, rights advocacy, safe environments, and legal support for sexual violence survivors; has impacted over 80,000 people,",,,,education,,,web_research,,,,,-1.29,36.82,nonprofit,tier_b,2,,,
689261,Tiba Foundation,KE,Kenya,,,,,"- ****: Funds grassroots projects by local leaders for rural quality-of-life improvements, benefiting 48,000+ via a level-4 hospital annually.[1] - **Food for Education Organization Kenya (FEOK)**: Fe",,,,healthcare,,,web_research,,,,,-1.29,36.82,foundation,tier_b,2,,,
