id,name,country_code,country_name,state_province,city,registration_id,registration_type,description,website,email,phone,framework_area,ntee_code,icnpo_code,source,source_id,last_filing_year,annual_revenue,employee_count,lat,lon,model_type,tags,alignment_score,evidence_url,evidence_quote,last_verified_at
713033,Agencia Presentes,AR,Argentina,,,,,news agency focused on LGBT and human rights issues,https://agenciapresentes.org/,,,democracy,,,wikidata,Q111851392,,,,-38.42,-63.62,nonprofit,tier_b,2,,,
713007,Gays for Civil Rights,AR,Argentina,,,,,LGBT organization of Argentina,,,,democracy,,,wikidata,Q124347998,,,,-38.42,-63.62,nonprofit,tier_b,4,,,
712764,Grandmothers of the Plaza de Mayo,AR,Argentina,,,,,Argentine human rights organization,http://www.abuelas.org.ar/,,,democracy,,,wikidata,Q335746,,,,-38.42,-63.62,nonprofit,tier_b,2,,,
712963,Maricas Unidas Argentinas,AR,Argentina,,,,,Argentine queer mutual aid group of the 1950s,,,,cooperatives,,,wikidata,Q137699885,,,,-38.42,-63.62,nonprofit,tier_b,3,,,
712814,Servicio Paz y Justicia,AR,Argentina,,,,,latin American human rights organisation,,,,conflict,,,wikidata,Q3480529,,,,-38.42,-63.62,nonprofit,tier_b,2,,,
708074,Arena,AU,Australia,,,,,Australian publishing co-operative,https://arena.org.au,,,cooperatives,,,wikidata,Q4788862,,,,-25.27,133.78,nonprofit,tier_b,3,,,
697568,Australian Foundation for Disability,AU,Australia,,,,,Australian charitable organisation,https://www.afford.com.au/,,,democracy,,,wikidata,Q28183691,,,,-25.27,133.78,foundation,tier_b,3,,,
708070,Australian Human Rights Commission,AU,Australia,,,,,human rights institution of the Australian Government,https://www.humanrights.gov.au/,,,democracy,,,wikidata,Q4056090,,,,-25.27,133.78,government,tier_b,2,,,
697592,Australian Literacy and Numeracy Foundation,AU,Australia,,,,,Australian charity,https://alnf.org/,,,education,,,wikidata,Q118130868,,,,-25.27,133.78,foundation,tier_b,3,,,
708182,Australian Privacy Foundation,AU,Australia,,,,,NGO formed for the purpose of protecting the privacy rights of Australians,https://privacy.org.au/,,,democracy,,,wikidata,Q4824577,,,,-25.27,133.78,foundation,tier_b,3,,,
697512,Beyond Blue,AU,Australia,,,,,Australian mental health and wellbeing support charitable organization,https://www.beyondblue.org.au/,,,healthcare,,,wikidata,Q2900494,,,,-25.27,133.78,nonprofit,tier_b,2,,,
697600,Bobby Goldsmith Foundation,AU,Australia,,,,,Australian HIV charitable organisation,https://www.bgf.org.au/,,,healthcare,,,wikidata,Q99763561,,,,-25.27,133.78,foundation,tier_b,2,,,
697497,Community Colleges Australia,AU,Australia,,,,,peak body of Australian adult and community education providers,https://cca.edu.au,,,education,,,wikidata,Q117485423,,,,-25.27,133.78,education_inst,tier_b,2,,,
708041,Creation Ministries International,AU,Australia,,,,,young Earth creationist advocacy organization [FILTERED: out of scope],http://creation.com,,,democracy,,,wikidata,Q2141331,,,,-25.27,133.78,nonprofit,tier_b,3,,,
697593,Croakey Health Media,AU,Australia,,,,,Australian public interest media organisation,https://www.croakey.org/,,,healthcare,,,wikidata,Q126125177,,,,-25.27,133.78,nonprofit,tier_b,2,,,
697229,First Nations Workers Alliance,AU,Australia,,,,,union for Indigenous Australians,,,,democracy,,,wikidata,Q60742377,,,,-25.27,133.78,federation,tier_b,3,,,
697307,Friends of Parks,AU,Australia,,,,,South Australian organisation representing community conservation groups,http://www.friendsofparkssa.org.au/,,,ecology,,,wikidata,Q5504298,,,,-25.27,133.78,nonprofit,tier_b,2,,,
697681,Graylands Hospital,AU,Australia,,,,,"largest mental health inpatient facility, and the only public stand-alone psychiatric teaching hospital, in Western Australia",https://www.nmhs.health.wa.gov.au/Hospitals-and-Services/Hospitals/Graylands,,,healthcare,,,wikidata,Q5598317,,,,-25.27,133.78,nonprofit,tier_b,2,,,
708065,Indigenous All Stars,AU,Australia,,,,,rugby league team,,,,democracy,,,wikidata,Q3590556,,,,-25.27,133.78,nonprofit,tier_b,3,,,
697707,Indigenous Knowledge Centre,AU,Australia,,,,,type of library service operating in Australia to serve Indigenous clients,,,,education,,,wikidata,Q6024606,,,,-25.27,133.78,nonprofit,tier_b,3,,,
697612,Indigenous Literacy Foundation,AU,Australia,,,,,Australian charity,https://www.indigenousliteracyfoundation.org.au,,,education,,,wikidata,Q72561423,,,,-25.27,133.78,foundation,tier_b,6,,,
697192,Intersex Human Rights Australia,AU,Australia,,,,,organization,http://ihra.org.au/,,,democracy,,,wikidata,Q16960748,,,,-25.27,133.78,nonprofit,tier_b,2,,,
697590,Muurrbay Aboriginal Language and Culture Co-operative,AU,Australia,,,,,centre of Aboriginal Australian languages in New South Wales,https://muurrbay.org.au/,,,cooperatives,,,wikidata,Q121854696,,,,-25.27,133.78,cooperative,tier_b,7,,,
697619,Nature Foundation,AU,Australia,,,,,South Australian nature conservation organisation,https://www.naturefoundation.org.au,,,ecology,,,wikidata,Q110516911,,,,-25.27,133.78,foundation,tier_b,3,,,
697621,Studio Schools of Australia,AU,Australia,,,,,residential Indigenous schools on-country,http://www.studioschools.edu.au/,,,education,,,wikidata,Q130311888,,,,-25.27,133.78,education_inst,tier_b,3,,,
