id,name,country_code,country_name,state_province,city,registration_id,registration_type,description,website,email,phone,framework_area,ntee_code,icnpo_code,source,source_id,last_filing_year,annual_revenue,employee_count,lat,lon,model_type,tags,alignment_score,evidence_url,evidence_quote,last_verified_at
764603,2101 Connecticut Avenue,,"Washington, D.C.",,,,land_and_housing/housing_cooperative,,,,,housing_land,,,wikidata_land_trusts,Q124668989,,,,,,cooperative,,3,http://www.wikidata.org/entity/Q124668989,,
764459,Coöperatieve Woningvereniging voor Gemeentepersoneel te Haarlem,,Netherlands,,,,land_and_housing/housing_cooperative,,,,,housing_land,,,wikidata_land_trusts,Q2781135,,,,,,cooperative,,3,http://www.wikidata.org/entity/Q2781135,,
764627,De Warren,,Netherlands,,,,land_and_housing/housing_cooperative,,https://dewarren.co,,,housing_land,,,wikidata_land_trusts,Q126490473,,,,,,cooperative,,3,http://www.wikidata.org/entity/Q126490473,,
764395,Utrechtse coöperatieve bouwvereniging 'Samenwerking',,Netherlands,,Utrecht,,land_and_housing/housing_cooperative,,,,,housing_land,,,wikidata_land_trusts,Q134681157,,,,,,cooperative,,3,http://www.wikidata.org/entity/Q134681157,,
764500,EBG,AT,Austria,,Wohn- und Geschäftshaus Josefstädter Straße 81–83,,land_and_housing/housing_cooperative,,https://www.ebg-wohnen.at/,,,housing_land,,,wikidata_land_trusts,Q134480029,1910,,,47.52,14.55,cooperative,,3,http://www.wikidata.org/entity/Q134480029,,
764425,Siedlungsgenossenschaft Ennstal,AT,Austria,,Liezen,,land_and_housing/housing_cooperative,,https://www.wohnbaugruppe.at/,,,housing_land,,,wikidata_land_trusts,Q134548275,,,,47.52,14.55,cooperative,,3,http://www.wikidata.org/entity/Q134548275,,
764349,Wien-Süd eGenmbH,AT,Austria,,Vienna,,land_and_housing/housing_cooperative,,http://www.wiensued.at,,,housing_land,,,wikidata_land_trusts,Q15854344,1910,,,47.52,14.55,cooperative,,3,http://www.wikidata.org/entity/Q15854344,,
764561,Canberra Student Housing Co-operative,AU,Australia,,Canberra,,land_and_housing/housing_cooperative,"student housing co-operative in Canberra, Australia",https://www.csh.coop/,,,housing_land,,,wikidata_land_trusts,Q111569381,2011,,,-25.27,133.78,cooperative,,7,http://www.wikidata.org/entity/Q111569381,,
764321,Christie Walk,AU,Australia,,,,land_and_housing/housing_cooperative,"cohousing development in Adelaide, Australia",,,,housing_land,,,wikidata_land_trusts,Q15210066,,,,-25.27,133.78,cooperative,,4,http://www.wikidata.org/entity/Q15210066,,
764294,Stucco Co-operative,AU,Australia,,Sydney,,land_and_housing/housing_cooperative,"student housing co-operative in Sydney, Australia",http://www.stucco.org.au/,,,housing_land,,,wikidata_land_trusts,Q7627412,1992,,,-25.27,133.78,cooperative,,10,http://www.wikidata.org/entity/Q7627412,,
