id,name,country_code,country_name,state_province,city,registration_id,registration_type,description,website,email,phone,framework_area,ntee_code,icnpo_code,source,source_id,last_filing_year,annual_revenue,employee_count,lat,lon,model_type,tags,alignment_score,evidence_url,evidence_quote,last_verified_at
765081,BrightSpark Foundation,AU,Australia,Western Australia,,,,"nonprofit organization in Perth, Western Australia",http://www.brightsparkfoundation.com.au/,,,democracy,,,wikidata_subregion,Q30271044,,,,-31.95115,115.854574,foundation,,3,,,
765099,Canberra Student Housing Co-operative,AU,Australia,Australian Capital Territory,,,,"student housing co-operative in Canberra, Australia",https://www.csh.coop/,,,housing_land,,,wikidata_subregion,Q111569381,,,,-35.2739,149.12908,cooperative,,7,,,
765083,"Helms Arboretum, Exotic and Indigenous",AU,Australia,Western Australia,,,,"arboretum in Myrup, Western Australia",,,,democracy,,,wikidata_subregion,Q68775683,,,,-33.8035627,121.8821371,nonprofit,,3,,,
765059,Human Rights Law Centre,AU,Australia,New South Wales,,,,Australian organization,https://www.hrlc.org.au/,,,democracy,,,wikidata_subregion,Q65073083,,,,-37.815349663672,144.96028001266,nonprofit,,2,,,
765069,Indigenous Collection,AU,Australia,Victoria,,,,"collection at Miles Historical Village and Museum in Miles, Queensland, Australia",,,,recreation_arts,,,wikidata_subregion,Q6024592,,,,,,nonprofit,,3,,,
765075,Indigenous Collection,AU,Australia,Queensland,,,,"collection at Miles Historical Village and Museum in Miles, Queensland, Australia",,,,recreation_arts,,,wikidata_subregion,Q6024592,,,,,,nonprofit,,3,,,
765098,Mental Health Australia,AU,Australia,Australian Capital Territory,,,,"nonprofit organization in Canberra, Australia",https://mhaustralia.org/,,,healthcare,,,wikidata_subregion,Q30264708,,,,-35.314009,149.107515,nonprofit,,2,,,
765062,Mid North Coast Co-operative Library Service,AU,Australia,New South Wales,,,,library system in New South Wales,https://mnclibrary.org.au/,,,education,,,wikidata_subregion,Q89388585,,,,,,cooperative,,6,,,
765100,National Indigenous Training Academy,AU,Australia,Northern Territory,,,,vocational academy training Indigenous Australians in tourism and hospitality,,,,healthcare,,,wikidata_subregion,Q17015090,,,,-25.237713,130.985965,education_inst,,3,,,
765063,Oliver's Wyong Southbound,AU,Australia,New South Wales,,,,fast-food health restaurant at Wyong heading Southbound on the Pacific Motorway,,,,healthcare,,,wikidata_subregion,Q116764862,,,,-33.25409,151.40552,nonprofit,,2,,,
765103,Papunya Tula,AU,Australia,Northern Territory,,,,Aboriginal Australian artists' cooperative,https://papunyatula.com.au/,,,cooperatives,,,wikidata_subregion,Q18005,,,,,,nonprofit,,3,,,
765091,Tjala Arts,AU,Australia,South Australia,,,,Amata community artists,https://tjalaarts.com.au/,,,recreation_arts,,,wikidata_subregion,Q87333310,,,,-26.1508571,131.1441548,nonprofit,,2,,,
765060,Tranby National Indigenous Adult Education and Training,AU,Australia,New South Wales,,,,"nonprofit organization in Sydney, Australia",https://tranby.edu.au/,,,education,,,wikidata_subregion,Q61931956,,,,-33.877499,151.18295,nonprofit,,4,,,
765057,Vision Cooperative Research Centre,AU,Australia,New South Wales,,,,"nonprofit organization in Sydney, Australia",http://www.visioncrc.org/,,,cooperatives,,,wikidata_subregion,Q30256213,,,,-33.919899,151.227587,cooperative,,6,,,
763444,Caio Martins Educational Foundation,BR,Brazil,Minas Gerais,,,,foundation and educational institution in Brazil,http://www.fucam.mg.gov.br/,,,education,,,wikidata_subregion,Q84435142,,,,-14.24,-51.93,foundation,,3,,,
763469,"Center for Studies and Research in Education, Culture and Community Action",BR,Brazil,Sao Paulo,,,,nonprofit organization in São Paulo Brazil,http://www.cenpec.org.br/,,,education,,,wikidata_subregion,Q29213757,,,,-14.24,-51.93,research,,3,,,
763452,Henrique Luís Roessler Environmental Foundation,BR,Brazil,Rio Grande do Sul,,,,"environmental agency in Rio Grande do Sul, Brazil",http://www.fepam.rs.gov.br/,,,ecology,,,wikidata_subregion,Q10286314,,,,-14.24,-51.93,foundation,,3,,,
763476,Jardim Botânico de São Paulo,BR,Brazil,Sao Paulo,,,,"park of the Botanical Garden, environmental preservation area of the São Paulo state in Brazil",https://jardimbotanico.com.br/,,,ecology,,,wikidata_subregion,Q3028259,,,,-14.24,-51.93,nonprofit,,2,,,
763439,Museu do Índio de Manaus,BR,Brazil,Amazonas,,,,"museum institution in Manaus, AM, based on indigenous culture",,,,recreation_arts,,,wikidata_subregion,Q10333951,,,,-14.24,-51.93,nonprofit,,4,,,
764946,ARTICLE 11,CA,Canada,Alberta,,,,Indigenous theatre company in what is known as Canada,http://article11.ca/,,,democracy,,,wikidata_subregion,Q114980915,,,,,,nonprofit,,3,,,
764954,Aboriginal School of Dance,CA,Canada,Manitoba,,,,"indigenous dance school in Winnipeg, Manitoba",https://aboriginalschoolofdance.com/,,,education,,,wikidata_subregion,Q136831159,,,,,,education_inst,,3,,,
764933,Alberta Community Council on HIV,CA,Canada,Alberta,,,,"nonprofit organization in Edmonton, Canada",http://www.acch.ca/,,,healthcare,,,wikidata_subregion,Q30283615,,,,53.515607,-113.49977,nonprofit,,4,,,
