id,name,country_code,country_name,state_province,city,registration_id,registration_type,description,website,email,phone,framework_area,ntee_code,icnpo_code,source,source_id,last_filing_year,annual_revenue,employee_count,lat,lon,model_type,tags,alignment_score,evidence_url,evidence_quote,last_verified_at
763531,Beroepsvereniging van Beeldende Kunstenaars,,Netherlands,,Amsterdam,,labor/national_union,Dutch trade union,,,,democracy,,,wikidata_unions,Q2506228,1945,,,,,labor_union,,2,http://www.wikidata.org/entity/Q2506228,,
763518,CGMV,,Netherlands,,Zwolle,,labor/national_union,,https://www.cgmv.nl,,,democracy,,,wikidata_unions,Q1914579,,,,,,labor_union,,2,http://www.wikidata.org/entity/Q1914579,,
763665,Central Union of Chimney Sweeps of Germany,,German Empire,,Berlin,,labor/national_union,former German Reich trade union (1907–1933),,,,democracy,,,wikidata_unions,Q106729435,1907,,,,,labor_union,,2,http://www.wikidata.org/entity/Q106729435,,
763655,Central Union of Civilian Musicians in Germany,,German Empire,,Hamburg,,labor/national_union,former German Empire trade union (1902–1919),,,,democracy,,,wikidata_unions,Q106603223,1902,,,,,labor_union,,2,http://www.wikidata.org/entity/Q106603223,,
763671,Central Union of Plasterers,,German Empire,,Hamburg,,labor/national_union,former German Empire trade union (1892–1911),,,,democracy,,,wikidata_unions,Q106519560,1892,,,,,labor_union,,2,http://www.wikidata.org/entity/Q106519560,,
763795,Eindhovense Studenten Vakbond,,Netherlands,,Eindhoven,,labor/national_union,,,,,democracy,,,wikidata_unions,Q137527013,1977,,,,,labor_union,,2,http://www.wikidata.org/entity/Q137527013,,
763585,Einheitsverband der Metallarbeiter Berlins,,German Reich,,Berlin,,labor/national_union,German Communist industrial union in Berlin (1930-1935/36),,,,democracy,,,wikidata_unions,Q1307874,1930,,,,,labor_union,,2,http://www.wikidata.org/entity/Q1307874,,
763587,Factory Workers' Union of Germany,,German Empire,,Hanover,,labor/national_union,former German Reich trade union (1890–1933),,,,democracy,,,wikidata_unions,Q1390789,1890,,,,,labor_union,,2,http://www.wikidata.org/entity/Q1390789,,
763670,General Milking Union of Germany,,Weimar Republic,,Leipzig,,labor/national_union,former German Weimar Republic trade union (1929–1933),,,,democracy,,,wikidata_unions,Q106702695,1929,,,,,labor_union,,2,http://www.wikidata.org/entity/Q106702695,,
763740,German Hat Workers' Union,,German Empire,,Altenburg,,labor/national_union,former German Reich trade union (1872–1933),,,,democracy,,,wikidata_unions,Q15450325,1872,,,,,labor_union,,2,http://www.wikidata.org/entity/Q15450325,,
